"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @IQuantNY: Today is a sad day for America. I used to think once #opendata was public you could not go back.  I stand corrected. https://…",FALSE,0,NA,2017-02-16 11:40:32,FALSE,NA,"832192938633469952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","paulboardman",399,TRUE,FALSE,NA,NA
"The latest Dipartimento Innovazione Digitale! https://t.co/EVrZUlHOBz Thanks to @buzzico @UBrignone @StromTonya #opendata",FALSE,0,NA,2017-02-16 11:40:21,FALSE,NA,"832192891091087361",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","MilanoCitExpo",0,FALSE,FALSE,NA,NA
"RT @sandralomas: #Analisi sobre #OpenData al sector públic per @xarxaip https://t.co/KnATUsomDZ",FALSE,0,NA,2017-02-16 11:39:46,FALSE,NA,"832192745724899329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jordifoz",7,TRUE,FALSE,NA,NA
"RT @Eddyca1: Interesting @CelinaAgaton #MapPH points about the power of #mapping #resilience #opendata linked to high #digital usage in Phi…",FALSE,0,NA,2017-02-16 11:39:03,FALSE,NA,"832192566141542400",NA,"<a href=""http://www.innonational.com"" rel=""nofollow"">AutomateRobot_opendata</a>","OpenDataMonkey",1,TRUE,FALSE,NA,NA
"RT @ICTscienceEU: The science of #openscience publishing by @OpenAIRE_eu https://t.co/lmvMZ1A9xB #openaccess #opendata https://t.co/gXFdob6…",FALSE,0,NA,2017-02-16 11:38:56,FALSE,NA,"832192535158259712",NA,"<a href=""http://www.innonational.com"" rel=""nofollow"">AutomateRobot_opendata</a>","OpenDataMonkey",25,TRUE,FALSE,NA,NA
"RT @CalderdaleData: Guest Post by @thomasforth - Calderdale's Digital Strategy - https://t.co/2GNzda2FZ2 #calderdale #digital #opendata",FALSE,0,NA,2017-02-16 11:38:49,FALSE,NA,"832192506645340160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Calderdale",3,TRUE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:38:48,FALSE,NA,"832192503780671488",NA,"<a href=""http://www.innonational.com"" rel=""nofollow"">AutomateRobot_opendata</a>","OpenDataMonkey",30,TRUE,FALSE,NA,NA
"RT @greenvincent: Pour en savoir + sur l'état des villes en matière d'#OpenData, de #Mobilité et d'#EcoCollab, suivez : @LeLabOSC (bientôt…",FALSE,0,NA,2017-02-16 11:37:25,FALSE,NA,"832192153946357761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ehab_elia",5,TRUE,FALSE,NA,NA
"RT @greenvincent: Pour en savoir + sur l'état des villes en matière d'#OpenData, de #Mobilité et d'#EcoCollab, suivez : @LeLabOSC (bientôt…",FALSE,0,NA,2017-02-16 11:34:31,FALSE,NA,"832191422686191616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeLabOSC",5,TRUE,FALSE,NA,NA
"RT @EnvAgency: Come rain or shine we monitor rainfall &amp; river levels across country. Our rainfall #data now available as #opendata https://…",FALSE,0,NA,2017-02-16 11:34:30,FALSE,NA,"832191420488364033",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","mvkennelly",30,TRUE,FALSE,NA,NA
